1	1	1-A-800	1	1	0	800	
2	1	1-B-1200	2	2	0	1200	
3	1	1-C-3000	3	3	0	3000	
4	1	1-D-1000	4	4	0	1000	
5	1	1-E-1000	5	5	0	1000	
6	1	1-F-99999	6	6	0	99999	
7	1	1-G-800	7	7	0	800	
8	1	1-M-99999	8	8	0	99999	
9	1	1-Z-99999	9	10	0	99999	
10	2	2-A-1150	10	1	0	1150	
11	2	2-B-2500	11	2	0	2500	
12	2	2-C-6000	12	3	0	6000	
13	2	2-D-3000	13	4	0	3000	
14	2	2-E-99999	14	5	0	99999	
15	2	2-G-1150	15	7	0	1150	
16	3	3-A-1300	16	1	0	1300	
17	3	3-B-4000	17	2	0	4000	
18	3	3-C-10000	18	3	0	10000	
19	3	3-D-10000	19	4	0	10000	
20	3	3-G-1300	20	7	0	1300	
21	4	4-A-99999	21	1	0	99999	
22	4	4-B-7000	22	2	0	7000	
23	4	4-C-15000	23	3	0	15000	
24	4	4-D-99999	24	4	0	99999	
25	4	4-G-99999	25	7	0	99999	
26	5	5-B-10000	26	2	0	10000	
27	5	5-C-20000	27	3	0	20000	
28	5	5-D-30000	28	4	0	30000	
29	6	6-B-13000	29	2	0	13000	
30	6	6-C-25000	30	3	0	25000	
31	7	7-A-99999	31	1	0	99999	
32	7	7-B-16000	32	2	0	16000	
33	7	7-C-30000	33	3	0	30000	
34	8	8-B-20000	34	2	0	20000	
35	8	8-C-35000	35	3	0	35000	
36	9	9-A-99999	36	1	0	99999	
37	9	9-B-99999	37	2	0	99999	
38	9	9-C-99999	38	3	0	99999	
39	11	11-X-99999	39	9	0	99999	
40	12	12-X-99999	40	9	0	99999	
41	13	13-X-99999	41	9	0	99999	
42	14	14-X-99999	42	9	0	99999	
43	15	15-X-99999	43	9	0	99999	
44	16	16-X-99999	44	9	0	99999	
45	17	17-X-99999	45	9	0	99999	
46	18	18-X-99999	46	9	0	99999	
47	19	19-X-99999	47	9	0	99999	
48	20	20-X-99999	48	9	0	99999	
49	21	21-M-99999	49	8	0	99999	
50	62	62-G-99999	50	7	0	99999	
51	63	63-C-99999	51	3	0	99999	
52	64	64-G-99999	52	7	0	99999	
53	65	65-G-99999	53	7	0	99999	
54	66	66-A-99999	54	1	0	99999	
55	67	67-G-99999	55	7	0	99999	
56	68	68-B-99999	56	2	0	99999	
57	69	69-G-99999	57	7	0	99999	
58	70	70-G-99999	58	7	0	99999	
59	71	71-B-99999	59	2	0	99999	
60	72	72-B-99999	60	2	0	99999	
61	73	73-D-99999	61	4	0	99999	
62	74	74-A-99999	62	1	0	99999	
63	75	75-C-99999	63	3	0	99999	
64	76	76-A-99999	64	1	0	99999	
65	77	77-G-99999	65	7	0	99999	
66	78	78-A-99999	66	1	0	99999	
67	79	79-G-99999	67	7	0	99999	
68	80	80-G-99999	68	7	0	99999	
69	81	81-B-99999	69	2	0	99999	
70	82	82-G-99999	70	7	0	99999	
71	83	83-G-99999	71	7	0	99999	
72	84	84-G-99999	72	7	0	99999	
73	85	85-B-99999	73	2	0	99999	
74	86	86-D-99999	74	4	0	99999	
75	87	87-D-99999	75	4	0	99999	
76	88	88-G-99999	76	7	0	99999	
77	89	89-D-99999	77	4	0	99999	
78	90	90-D-99999	78	4	0	99999	
79	91	91-B-99999	79	2	0	99999	
80	92	92-E-99999	80	5	0	99999	
81	93	93-A-99999	81	1	0	99999	
82	94	94-C-99999	82	3	0	99999	
83	95	95-A-99999	83	1	0	99999	
84	96	96-A-99999	84	1	0	99999	
85	97	97-C-99999	85	3	0	99999	
86	98	98-C-99999	86	3	0	99999	
87	99	99-F-99999	87	6	0	99999	